"keyword","time","value"
"HWCPZ","2023-02-01",0
"HWCPZ","2023-02-02",0
"HWCPZ","2023-02-03",0
"HWCPZ","2023-02-04",0
"HWCPZ","2023-02-05",0
"HWCPZ","2023-02-06",0
"HWCPZ","2023-02-07",0
"HWCPZ","2023-02-08",0
"HWCPZ","2023-02-09",0
"HWCPZ","2023-02-10",0
"HWCPZ","2023-02-11",0
"HWCPZ","2023-02-12",0
"HWCPZ","2023-02-13",0
"HWCPZ","2023-02-14",0
"HWCPZ","2023-02-15",0
"HWCPZ","2023-02-16",0
"HWCPZ","2023-02-17",0
"HWCPZ","2023-02-18",0
"HWCPZ","2023-02-19",0
"HWCPZ","2023-02-20",0
"HWCPZ","2023-02-21",0
"HWCPZ","2023-02-22",0
"HWCPZ","2023-02-23",0
"HWCPZ","2023-02-24",0
"HWCPZ","2023-02-25",0
"HWCPZ","2023-02-26",0
"HWCPZ","2023-02-27",0
"HWCPZ","2023-02-28",0
